;кто;текст;кому;контекст;уровень;post
2382;580064695;Какие двухмесячные? Grobanne и ARTGROB вышли 4 и 7 лет назад соответственно. То, что Срага не смогла за это время накопить на платину, уже другое дело! И чем это не сухой факт? Зашла, заскринила, скинула.;320765743;найс скрины с двух месячными сертификациями альбомов гаги и трех летними сертификацими сранти, опять подтасовка пошла, а ведь ты вчера заявляла о сухих фактах... хотя чего я хочу от рыгаебов которые хоронят гагу пока у своей кумирши карьеры не наблюдается уже 5 лет;2;5071985
2383;320765743;"а нихуя что и артпоп и джоанн платиновые уже как 6 и 3 года соответственно? 😂😂 зашла, заскринила, обосралась...
Ну ниче ниче";580064695;Какие двухмесячные? Grobanne и ARTGROB вышли 4 и 7 лет назад соответственно. То, что Срага не смогла за это время накопить на платину, уже другое дело! И чем это не сухой факт? Зашла, заскринила, скинула.;2;5071985
2384;580064695;Так ты про Британию заговорил, я тебе Британию и скинула, где ни один из трёх последних студийных альбомов Леди Флопницы не наскрёб на платину. Обосрался тут кое-кто другой!;320765743;"а нихуя что и артпоп и джоанн платиновые уже как 6 и 3 года соответственно? 😂😂 зашла, заскринила, обосралась...
Ну ниче ниче";2;5071985
2385;489439302;;215127987;[id320765743|Анатолий], ноунемиха;2;5071985
2386;572437133;[id320765743|Анатолий], как же бездарно ты слился лохопугало;320765743;спасибо ладно мне пора разрабатывать новую линейку пизденти савага, пока;2;5071985
2387;144895832;"Такие вы смешные) 
Имена га,ри и других артистов у всех на слуху. Действительные ноунеймы это вы,так что придержите языки";320765743;ноунемиха;2;5071985
2388;612082621;накрутка;post;post;1;5071985
2389;508012792;[id612082621|Queen's], BLackpink & BTS;612082621;накрутка;2;5071985
2390;305493394;Гага на татуху;612082621;накрутка;2;5071985
2391;612082621;[id508012792|Тимур], только у Блядиэс;508012792;[id612082621|Queen's], BLackpink & BTS;2;5071985
2392;489439302;я чекал у гаги теперь 24 миллиона вместо миллиарда просмотров...ору;305493394;Гага на татуху;2;5071985
2393;612082621;где ссылку;489439302;я чекал у гаги теперь 24 миллиона вместо миллиарда просмотров...ору;2;5071985
2394;489439302;https://www.instagram.com/p/Bt4Eef2l9Cu/?igshid=xwxzw1zr37y3;612082621;где ссылку;2;5071985
2395;612082621;ОРУУУУУ унижено;489439302;https://www.instagram.com/p/Bt4Eef2l9Cu/?igshid=xwxzw1zr37y3;2;5071985
2396;489439302;у неё есть только один альбом, где есть 4-5 песен нормальные, потом perfect illusion, остальные просто дерьмо, она всю карьеру вывезла костюмами, а не голосом;612082621;ОРУУУУУ унижено;2;5071985
2397;612082621;маскарадное чучело;489439302;у неё есть только один альбом, где есть 4-5 песен нормальные, потом perfect illusion, остальные просто дерьмо, она всю карьеру вывезла костюмами, а не голосом;2;5071985
2398;489439302;;612082621;маскарадное чучело;2;5071985
2399;612082621;;489439302;;2;5071985
2400;489439302;;612082621;;2;5071985
2401;612082621;;489439302;;2;5071985
2402;489439302;боже что с этой женщиной не так;612082621;;2;5071985
2403;178028033;Посмотри сколько в Твиттере подписчиков у битиэс,их каждый пост набирает столько лайков;508012792;[id612082621|Queen's], BLackpink & BTS;2;5071985
2404;508012792;Она Бог;post;post;1;5071985
2405;265259005;На Темникову похожа;post;post;1;5071985
2406;614099492;[id265259005|Viktor], ага очень;265259005;На Темникову похожа;2;5071985
2407;614099492;Накрутила явно;post;post;1;5071985
2408;317822806;А что не так ? Она умерла?;post;post;1;5071985
2409;543713785;[id317822806|Женя], парень бросил;317822806;А что не так ? Она умерла?;2;5071985
2410;168588740;[id317822806|Женя], давно в соцсети ничего не постила, плюс информация о расставании с молодым человеком;317822806;А что не так ? Она умерла?;2;5071985
2411;223857935;[id317822806|Zhenya], да;317822806;А что не так ? Она умерла?;2;5071985
2412;543926180;А с кем?;168588740;[id317822806|Женя], давно в соцсети ничего не постила, плюс информация о расставании с молодым человеком;2;5071985
2413;168588740;[id543926180|Emily], Джейкоб Элорди;543926180;А с кем?;2;5071985
2414;543926180;Из будки?;168588740;[id543926180|Emily], Джейкоб Элорди;2;5071985
2415;498246645;[id543926180|Emily], да;543926180;Из будки?;2;5071985
2416;512974396;[id317822806|Женя], орууууу;317822806;А что не так ? Она умерла?;2;5071985
2417;570898786;Зендая мне хоть и дико не нравится, но не могу отрицать, что есть у нее какой то шарм и очарование;post;post;1;5071985
2418;589264965;Классно моя любимая Тей. 😍😍;post;post;1;5071982
2419;320765743;не знаем такой альбом;post;post;1;5071982
2420;188690084;Верно подмечено;320765743;не знаем такой альбом;2;5071982
2421;552016958;[id320765743|Anatoly], падла;320765743;не знаем такой альбом;2;5071982
2422;359239295;[id320765743|Анатолий], никиговноренко опять вылез, кстати Тей обошла по этому показателю флопатику, так что не вякай, а сиди на своей жопе ровно;320765743;не знаем такой альбом;2;5071982
2423;320765743;[id359239295|Илья], а лавер хоть что то обошел в этом мире?...;359239295;[id320765743|Анатолий], никиговноренко опять вылез, кстати Тей обошла по этому показателю флопатику, так что не вякай, а сиди на своей жопе ровно;2;5071982
2424;320765743;[id552016958|Something], падла;552016958;[id320765743|Anatoly], падла;2;5071982
